Rank,Model,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-1 Std,ROUGE-2 Std,ROUGE-L Std,Total Samples,Successful,Failed,Success Rate,Time Hours
1,BART-Base,46.16,21.67,29.92,10.66,10.87,9.77,200,200,0,100.0,4.4
2,BART-Large-CNN,41.02,21.54,30.83,13.36,15.87,14.61,200,200,0,100.0,2.66
3,DistilBART,42.05,21.31,30.32,12.17,13.49,12.79,200,200,0,100.0,0.85
4,LED-ArXiv,44.97,20.76,29.21,11.31,10.97,10.17,200,200,0,100.0,1.65
5,T5-Large,40.26,18.95,28.45,9.8,10.82,10.37,200,200,0,100.0,12.08
6,PEGASUS-CNN,37.48,17.72,26.81,10.26,10.61,10.6,200,200,0,100.0,6.08
7,T5-Base,38.11,17.39,27.08,10.45,10.92,10.44,200,200,0,100.0,0.98
8,LongT5-Base,34.39,14.43,22.79,10.72,10.4,9.94,200,200,0,100.0,1.57
9,PEGASUS-XSum,33.27,13.39,21.82,9.81,7.62,8.0,200,123,77,61.5,0.43
10,mT5-Base,14.92,4.38,10.14,8.07,4.7,5.12,200,200,0,100.0,0.76
